Epoch 98/500 | latent_loss=0.001268 | mask_loss=0.000849 | total_loss=0.002117 | epoch_time=8.7s | eta=57.0m (finishes ~ 03:24:06)
Epoch 99/500 | latent_loss=0.001268 | mask_loss=0.000840 | total_loss=0.002108 | epoch_time=8.5s | eta=56.9m (finishes ~ 03:24:06)
Epoch 100/500 | latent_loss=0.001268 | mask_loss=0.000832 | total_loss=0.002100 | epoch_time=8.4s | eta=56.8m (finishes ~ 03:24:06)
Epoch 101/500 | latent_loss=0.001267 | mask_loss=0.000824 | total_loss=0.002091 | epoch_time=8.7s | eta=56.6m (finishes ~ 03:24:07)
Epoch 102/500 | latent_loss=0.001267 | mask_loss=0.000816 | total_loss=0.002083 | epoch_time=8.6s | eta=56.5m (finishes ~ 03:24:07)
Epoch 103/500 | latent_loss=0.001267 | mask_loss=0.000809 | total_loss=0.002076 | epoch_time=8.7s | eta=56.4m (finishes ~ 03:24:08)
Epoch 104/500 | latent_loss=0.001267 | mask_loss=0.000801 | total_loss=0.002068 | epoch_time=8.2s | eta=56.2m (finishes ~ 03:24:06)
Epoch 105/500 | latent_loss=0.001266 | mask_loss=0.000794 | total_loss=0.002060 | epoch_time=8.4s | eta=56.0m (finishes ~ 03:24:06)
Epoch 106/500 | latent_loss=0.001266 | mask_loss=0.000787 | total_loss=0.002053 | epoch_time=8.9s | eta=55.9m (finishes ~ 03:24:07)
Epoch 107/500 | latent_loss=0.001265 | mask_loss=0.000780 | total_loss=0.002046 | epoch_time=8.3s | eta=55.8m (finishes ~ 03:24:06)
Epoch 108/500 | latent_loss=0.001264 | mask_loss=0.000774 | total_loss=0.002038 | epoch_time=8.8s | eta=55.6m (finishes ~ 03:24:07)
Epoch 109/500 | latent_loss=0.001264 | mask_loss=0.000767 | total_loss=0.002031 | epoch_time=8.5s | eta=55.5m (finishes ~ 03:24:07)
Epoch 110/500 | latent_loss=0.001264 | mask_loss=0.000761 | total_loss=0.002024 | epoch_time=8.2s | eta=55.3m (finishes ~ 03:24:06)
Epoch 111/500 | latent_loss=0.001263 | mask_loss=0.000754 | total_loss=0.002018 | epoch_time=8.8s | eta=55.2m (finishes ~ 03:24:07)
